bp,name
GO:0034614,cellular response to reactive oxygen species
GO:0034620,cellular response to unfolded protein
GO:0034625,"fatty acid elongation, monounsaturated fatty acid"
GO:0034626,"fatty acid elongation, polyunsaturated fatty acid"
GO:0034627,'de novo' NAD biosynthetic process
GO:0034628,'de novo' NAD biosynthetic process from aspartate
GO:0034637,cellular carbohydrate biosynthetic process
GO:0034641,cellular nitrogen compound metabolic process
GO:0034644,cellular response to UV
GO:0034645,cellular macromolecule biosynthetic process
GO:0034654,nucleobase-containing compound biosynthetic process
GO:0034655,nucleobase-containing compound catabolic process
GO:0034656,nucleobase-containing small molecule catabolic process
GO:0034660,ncRNA metabolic process
GO:0034661,ncRNA catabolic process
GO:0034727,piecemeal microautophagy of the nucleus
GO:0034728,nucleosome organization
GO:0034754,cellular hormone metabolic process
GO:0034755,iron ion transmembrane transport
GO:0034762,regulation of transmembrane transport
GO:0034765,regulation of ion transmembrane transport
GO:0034963,box C/D RNA processing
GO:0034964,box H/ACA RNA processing
GO:0034968,histone lysine methylation
GO:0034969,histone arginine methylation
GO:0034975,protein folding in endoplasmic reticulum
GO:0034976,response to endoplasmic reticulum stress
GO:0034982,mitochondrial protein processing
GO:0035036,sperm-egg recognition
GO:0035065,regulation of histone acetylation
GO:0035066,positive regulation of histone acetylation
GO:0035067,negative regulation of histone acetylation
GO:0035082,axoneme assembly
GO:0035194,post-transcriptional gene silencing by RNA
GO:0035195,miRNA-mediated gene silencing
GO:0035196,miRNA processing
GO:0035235,ionotropic glutamate receptor signaling pathway
GO:0035239,tube morphogenesis
GO:0035246,peptidyl-arginine N-methylation
GO:0035265,organ growth
GO:0035266,meristem growth
GO:0035268,protein mannosylation
GO:0035269,protein O-linked mannosylation
GO:0035295,tube development
GO:0035303,regulation of dephosphorylation
GO:0035304,regulation of protein dephosphorylation
GO:0035305,negative regulation of dephosphorylation
GO:0035308,negative regulation of protein dephosphorylation
GO:0035336,long-chain fatty-acyl-CoA metabolic process
GO:0035337,fatty-acyl-CoA metabolic process
GO:0035349,coenzyme A transmembrane transport
GO:0035350,FAD transmembrane transport
GO:0035352,NAD transmembrane transport
GO:0035372,protein localization to microtubule
GO:0035383,thioester metabolic process
GO:0035384,thioester biosynthetic process
GO:0035434,copper ion transmembrane transport
GO:0035435,phosphate ion transmembrane transport
GO:0035436,triose phosphate transmembrane transport
GO:0035437,maintenance of protein localization in endoplasmic reticulum
GO:0035442,dipeptide transmembrane transport
GO:0035445,borate transmembrane transport
GO:0035459,vesicle cargo loading
GO:0035461,vitamin transmembrane transport
GO:0035493,SNARE complex assembly
GO:0035494,SNARE complex disassembly
GO:0035510,DNA dealkylation
GO:0035511,oxidative DNA demethylation
GO:0035513,oxidative RNA demethylation
GO:0035524,proline transmembrane transport
GO:0035551,protein initiator methionine removal involved in protein maturation
GO:0035552,oxidative single-stranded DNA demethylation
GO:0035556,intracellular signal transduction
GO:0035592,establishment of protein localization to extracellular region
GO:0035600,tRNA methylthiolation
GO:0035601,protein deacylation
GO:0035616,histone H2B conserved C-terminal lysine deubiquitination
GO:0035627,ceramide transport
GO:0035670,plant-type ovary development
GO:0035672,oligopeptide transmembrane transport
GO:0035725,sodium ion transmembrane transport
GO:0035735,intraciliary transport involved in cilium assembly
GO:0035794,positive regulation of mitochondrial membrane permeability
GO:0035795,negative regulation of mitochondrial membrane permeability
GO:0035821,modulation of process of another organism
GO:0035825,homologous recombination
GO:0035884,arabinan biosynthetic process
GO:0035964,COPI-coated vesicle budding
GO:0035966,response to topologically incorrect protein
GO:0035967,cellular response to topologically incorrect protein
GO:0035970,peptidyl-threonine dephosphorylation
GO:0035977,protein deglycosylation involved in glycoprotein catabolic process
GO:0035998,"7,8-dihydroneopterin 3'-triphosphate biosynthetic process"
GO:0035999,tetrahydrofolate interconversion
GO:0036003,positive regulation of transcription from RNA polymerase II promoter in response to stress
GO:0036065,fucosylation
GO:0036066,protein O-linked fucosylation
GO:0036071,N-glycan fucosylation
GO:0036092,phosphatidylinositol-3-phosphate biosynthetic process
GO:0036211,protein modification process
GO:0036228,protein localization to nuclear inner membrane
GO:0036257,multivesicular body organization
GO:0036258,multivesicular body assembly
GO:0036260,RNA capping
GO:0036261,7-methylguanosine cap hypermethylation
GO:0036265,RNA (guanine-N7)-methylation
GO:0036293,response to decreased oxygen levels
GO:0036294,cellular response to decreased oxygen levels
GO:0036297,interstrand cross-link repair
GO:0036444,calcium import into the mitochondrion
GO:0036473,cell death in response to oxidative stress
GO:0036498,IRE1-mediated unfolded protein response
GO:0036503,ERAD pathway
GO:0036507,protein demannosylation
GO:0036508,"protein alpha-1,2-demannosylation"
GO:0038034,signal transduction in absence of ligand
GO:0038202,TORC1 signaling
GO:0040007,growth
GO:0040008,regulation of growth
GO:0040011,locomotion
GO:0040012,regulation of locomotion
GO:0040017,positive regulation of locomotion
GO:0040020,regulation of meiotic nuclear division
GO:0040029,epigenetic regulation of gene expression
GO:0040031,snRNA modification
GO:0040034,"regulation of development, heterochronic"
GO:0042023,DNA endoreduplication
GO:0042026,protein refolding
GO:0042044,fluid transport
GO:0042060,wound healing
GO:0042073,intraciliary transport
GO:0042126,nitrate metabolic process
GO:0042127,regulation of cell population proliferation
GO:0042128,nitrate assimilation
GO:0042138,meiotic DNA double-strand break formation
GO:0042144,"vacuole fusion, non-autophagic"
GO:0042147,"retrograde transport, endosome to Golgi"
GO:0042148,strand invasion
GO:0042149,cellular response to glucose starvation
GO:0042157,lipoprotein metabolic process
GO:0042158,lipoprotein biosynthetic process
GO:0042159,lipoprotein catabolic process
GO:0042168,heme metabolic process
GO:0042176,regulation of protein catabolic process
GO:0042177,negative regulation of protein catabolic process
GO:0042178,xenobiotic catabolic process
GO:0042180,cellular ketone metabolic process
GO:0042181,ketone biosynthetic process
GO:0042182,ketone catabolic process
GO:0042183,formate catabolic process
GO:0042214,terpene metabolic process
GO:0042218,1-aminocyclopropane-1-carboxylate biosynthetic process
GO:0042219,cellular modified amino acid catabolic process
GO:0042221,response to chemical
GO:0042254,ribosome biogenesis
GO:0042255,ribosome assembly
GO:0042256,mature ribosome assembly
GO:0042262,DNA protection
GO:0042273,ribosomal large subunit biogenesis
GO:0042274,ribosomal small subunit biogenesis
GO:0042276,error-prone translesion synthesis
GO:0042278,purine nucleoside metabolic process
GO:0042304,regulation of fatty acid biosynthetic process
GO:0042325,regulation of phosphorylation
GO:0042326,negative regulation of phosphorylation
GO:0042327,positive regulation of phosphorylation
GO:0042330,taxis
GO:0042335,cuticle development
GO:0042350,GDP-L-fucose biosynthetic process
GO:0042351,'de novo' GDP-L-fucose biosynthetic process
GO:0042352,GDP-L-fucose salvage
GO:0042357,thiamine diphosphate metabolic process
GO:0042360,vitamin E metabolic process
GO:0042362,fat-soluble vitamin biosynthetic process
GO:0042364,water-soluble vitamin biosynthetic process
GO:0042371,vitamin K biosynthetic process
GO:0042372,phylloquinone biosynthetic process
GO:0042373,vitamin K metabolic process
GO:0042374,phylloquinone metabolic process
GO:0042391,regulation of membrane potential
GO:0042398,cellular modified amino acid biosynthetic process
GO:0042401,cellular biogenic amine biosynthetic process
GO:0042402,cellular biogenic amine catabolic process
GO:0042407,cristae formation
GO:0042430,indole-containing compound metabolic process
GO:0042435,indole-containing compound biosynthetic process
GO:0042436,indole-containing compound catabolic process
GO:0042439,ethanolamine-containing compound metabolic process
GO:0042440,pigment metabolic process
GO:0042445,hormone metabolic process
GO:0042446,hormone biosynthetic process
GO:0042447,hormone catabolic process
GO:0042450,arginine biosynthetic process via ornithine
GO:0042451,purine nucleoside biosynthetic process
GO:0042454,ribonucleoside catabolic process
GO:0042455,ribonucleoside biosynthetic process
GO:0042537,benzene-containing compound metabolic process
GO:0042538,hyperosmotic salinity response
GO:0042542,response to hydrogen peroxide
GO:0042543,protein N-linked glycosylation via arginine
GO:0042545,cell wall modification
GO:0042546,cell wall biogenesis
GO:0042548,"regulation of photosynthesis, light reaction"
GO:0042549,photosystem II stabilization
GO:0042558,pteridine-containing compound metabolic process
GO:0042559,pteridine-containing compound biosynthetic process
GO:0042592,homeostatic process
GO:0042593,glucose homeostasis
GO:0042594,response to starvation
GO:0042631,cellular response to water deprivation
GO:0042723,thiamine-containing compound metabolic process
GO:0042724,thiamine-containing compound biosynthetic process
GO:0042726,flavin-containing compound metabolic process
GO:0042727,flavin-containing compound biosynthetic process
GO:0042732,D-xylose metabolic process
GO:0042742,defense response to bacterium
GO:0042743,hydrogen peroxide metabolic process
GO:0042744,hydrogen peroxide catabolic process
GO:0042752,regulation of circadian rhythm
GO:0042753,positive regulation of circadian rhythm
GO:0042759,long-chain fatty acid biosynthetic process
GO:0042760,very long-chain fatty acid catabolic process
GO:0042761,very long-chain fatty acid biosynthetic process
GO:0042770,signal transduction in response to DNA damage
GO:0042773,ATP synthesis coupled electron transport
GO:0042775,mitochondrial ATP synthesis coupled electron transport
GO:0042776,proton motive force-driven mitochondrial ATP synthesis
GO:0042779,tRNA 3'-trailer cleavage
GO:0042780,tRNA 3'-end processing
GO:0042789,mRNA transcription by RNA polymerase II
GO:0042790,nucleolar large rRNA transcription by RNA polymerase I
GO:0042791,5S class rRNA transcription by RNA polymerase III
GO:0042793,plastid transcription
GO:0042795,snRNA transcription by RNA polymerase II
GO:0042796,snRNA transcription by RNA polymerase III
GO:0042797,tRNA transcription by RNA polymerase III
GO:0042814,monopolar cell growth
GO:0042816,vitamin B6 metabolic process
GO:0042819,vitamin B6 biosynthetic process
GO:0042822,pyridoxal phosphate metabolic process
GO:0042823,pyridoxal phosphate biosynthetic process
GO:0042843,D-xylose catabolic process
GO:0042851,L-alanine metabolic process
GO:0042853,L-alanine catabolic process
GO:0042866,pyruvate biosynthetic process
GO:0042868,antisense RNA metabolic process
GO:0042873,aldonate transmembrane transport
GO:0042886,amide transport
GO:0042908,xenobiotic transport
GO:0042938,dipeptide transport
GO:0042939,tripeptide transport
GO:0042981,regulation of apoptotic process
GO:0042989,sequestering of actin monomers
GO:0043001,Golgi to plasma membrane protein transport
GO:0043038,amino acid activation
GO:0043039,tRNA aminoacylation
GO:0043043,peptide biosynthetic process
GO:0043048,dolichyl monophosphate biosynthetic process
GO:0043062,extracellular structure organization
GO:0043066,negative regulation of apoptotic process
GO:0043067,regulation of programmed cell death
GO:0043068,positive regulation of programmed cell death
GO:0043069,negative regulation of programmed cell death
GO:0043085,positive regulation of catalytic activity
GO:0043086,negative regulation of catalytic activity
GO:0043087,regulation of GTPase activity
GO:0043094,cellular metabolic compound salvage
GO:0043096,purine nucleobase salvage
GO:0043100,pyrimidine nucleobase salvage
GO:0043101,purine-containing compound salvage
GO:0043102,amino acid salvage
GO:0043111,replication fork arrest
GO:0043132,NAD transport
GO:0043137,"DNA replication, removal of RNA primer"
GO:0043144,sno(s)RNA processing
GO:0043153,entrainment of circadian clock by photoperiod
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043162,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
GO:0043170,macromolecule metabolic process
GO:0043171,peptide catabolic process
GO:0043173,nucleotide salvage
GO:0043174,nucleoside salvage
GO:0043200,response to amino acid
GO:0043207,response to external biotic stimulus
GO:0043242,negative regulation of protein-containing complex disassembly
GO:0043243,positive regulation of protein-containing complex disassembly
GO:0043244,regulation of protein-containing complex disassembly
GO:0043247,telomere maintenance in response to DNA damage
GO:0043248,proteasome assembly
GO:0043254,regulation of protein-containing complex assembly
GO:0043255,regulation of carbohydrate biosynthetic process
GO:0043269,regulation of ion transport
GO:0043288,apocarotenoid metabolic process
GO:0043289,apocarotenoid biosynthetic process
GO:0043290,apocarotenoid catabolic process
GO:0043328,protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
GO:0043335,protein unfolding
GO:0043393,regulation of protein binding
GO:0043401,steroid hormone mediated signaling pathway
GO:0043405,regulation of MAP kinase activity
GO:0043407,negative regulation of MAP kinase activity
GO:0043408,regulation of MAPK cascade
GO:0043409,negative regulation of MAPK cascade
GO:0043412,macromolecule modification
GO:0043413,macromolecule glycosylation
GO:0043414,macromolecule methylation
GO:0043419,urea catabolic process
GO:0043436,oxoacid metabolic process
GO:0043446,cellular alkane metabolic process
GO:0043448,alkane catabolic process
GO:0043455,regulation of secondary metabolic process
GO:0043461,proton-transporting ATP synthase complex assembly
GO:0043462,regulation of ATP-dependent activity
GO:0043467,regulation of generation of precursor metabolites and energy
GO:0043484,regulation of RNA splicing
GO:0043486,histone exchange
GO:0043487,regulation of RNA stability
GO:0043488,regulation of mRNA stability
GO:0043489,RNA stabilization
GO:0043504,mitochondrial DNA repair
GO:0043543,protein acylation
GO:0043545,molybdopterin cofactor metabolic process
GO:0043547,positive regulation of GTPase activity
GO:0043549,regulation of kinase activity
GO:0043562,cellular response to nitrogen levels
GO:0043572,plastid fission
GO:0043574,peroxisomal transport
GO:0043603,cellular amide metabolic process
GO:0043604,amide biosynthetic process
GO:0043605,cellular amide catabolic process
GO:0043618,regulation of transcription from RNA polymerase II promoter in response to stress
GO:0043620,regulation of DNA-templated transcription in response to stress
GO:0043622,cortical microtubule organization
GO:0043628,small regulatory ncRNA 3'-end processing
GO:0043631,RNA polyadenylation
GO:0043632,modification-dependent macromolecule catabolic process
GO:0043633,polyadenylation-dependent RNA catabolic process
GO:0043634,polyadenylation-dependent ncRNA catabolic process
GO:0043647,inositol phosphate metabolic process
GO:0043648,dicarboxylic acid metabolic process
GO:0043649,dicarboxylic acid catabolic process
GO:0043650,dicarboxylic acid biosynthetic process
GO:0043666,regulation of phosphoprotein phosphatase activity
GO:0043686,co-translational protein modification
GO:0043687,post-translational protein modification
GO:0043692,monoterpene metabolic process
GO:0043693,monoterpene biosynthetic process
GO:0043903,regulation of biological process involved in symbiotic interaction
GO:0043928,exonucleolytic catabolism of deadenylated mRNA
GO:0043933,protein-containing complex organization
GO:0043934,sporulation
GO:0043949,regulation of cAMP-mediated signaling
GO:0043953,protein transport by the Tat complex
GO:0043966,histone H3 acetylation
GO:0043967,histone H4 acetylation
GO:0043968,histone H2A acetylation
GO:0043970,histone H3-K9 acetylation
GO:0043981,histone H4-K5 acetylation
GO:0043982,histone H4-K8 acetylation
GO:0043984,histone H4-K16 acetylation
GO:0043985,histone H4-R3 methylation
GO:0044000,movement in host
GO:0044001,migration in host
GO:0044030,regulation of DNA methylation
GO:0044036,cell wall macromolecule metabolic process
GO:0044038,cell wall macromolecule biosynthetic process
GO:0044042,glucan metabolic process
GO:0044070,regulation of anion transport
GO:0044085,cellular component biogenesis
GO:0044087,regulation of cellular component biogenesis
GO:0044089,positive regulation of cellular component biogenesis
GO:0044091,membrane biogenesis
GO:0044092,negative regulation of molecular function
GO:0044093,positive regulation of molecular function
GO:0044106,cellular amine metabolic process
GO:0044107,cellular alcohol metabolic process
GO:0044108,cellular alcohol biosynthetic process
GO:0044154,histone H3-K14 acetylation
GO:0044205,'de novo' UMP biosynthetic process
GO:0044206,UMP salvage
GO:0044208,'de novo' AMP biosynthetic process
GO:0044209,AMP salvage
GO:0044210,'de novo' CTP biosynthetic process
GO:0044211,CTP salvage
GO:0044237,cellular metabolic process
GO:0044238,primary metabolic process
GO:0044242,cellular lipid catabolic process
GO:0044247,cellular polysaccharide catabolic process
GO:0044248,cellular catabolic process
GO:0044249,cellular biosynthetic process
GO:0044255,cellular lipid metabolic process
GO:0044260,cellular macromolecule metabolic process
GO:0044262,cellular carbohydrate metabolic process
GO:0044264,cellular polysaccharide metabolic process
GO:0044265,cellular macromolecule catabolic process
GO:0044270,cellular nitrogen compound catabolic process
GO:0044271,cellular nitrogen compound biosynthetic process
GO:0044272,sulfur compound biosynthetic process
GO:0044273,sulfur compound catabolic process
GO:0044275,cellular carbohydrate catabolic process
GO:0044281,small molecule metabolic process
GO:0044282,small molecule catabolic process
GO:0044283,small molecule biosynthetic process
GO:0044347,cell wall polysaccharide catabolic process
GO:0044375,regulation of peroxisome size
GO:0044380,protein localization to cytoskeleton
GO:0044403,biological process involved in symbiotic interaction
GO:0044419,biological process involved in interspecies interaction between organisms
GO:0044550,secondary metabolite biosynthetic process
GO:0044571,[2Fe-2S] cluster assembly
GO:0044703,multi-organism reproductive process
GO:0044706,multi-multicellular organism process
GO:0044728,DNA methylation or demethylation
GO:0044743,protein transmembrane import into intracellular organelle
GO:0044770,cell cycle phase transition
GO:0044772,mitotic cell cycle phase transition
GO:0044773,mitotic DNA damage checkpoint signaling
GO:0044774,mitotic DNA integrity checkpoint signaling
GO:0044778,meiotic DNA integrity checkpoint signaling
GO:0044782,cilium organization
GO:0044784,metaphase/anaphase transition of cell cycle
GO:0044786,cell cycle DNA replication
GO:0044804,autophagy of nucleus
GO:0044805,late nucleophagy
GO:0044818,mitotic G2/M transition checkpoint
GO:0044821,meiotic telomere tethering at nuclear periphery
GO:0044839,cell cycle G2/M phase transition
GO:0044843,cell cycle G1/S phase transition
GO:0044848,biological phase
GO:0045002,double-strand break repair via single-strand annealing
GO:0045003,double-strand break repair via synthesis-dependent strand annealing
GO:0045004,DNA replication proofreading
GO:0045005,DNA-templated DNA replication maintenance of fidelity
GO:0045010,actin nucleation
GO:0045017,glycerolipid biosynthetic process
GO:0045022,early endosome to late endosome transport
GO:0045036,protein targeting to chloroplast
GO:0045037,protein import into chloroplast stroma
GO:0045038,protein import into chloroplast thylakoid membrane
GO:0045039,protein insertion into mitochondrial inner membrane
GO:0045040,protein insertion into mitochondrial outer membrane
GO:0045041,protein import into mitochondrial intermembrane space
GO:0045046,protein import into peroxisome membrane
GO:0045047,protein targeting to ER
GO:0045048,protein insertion into ER membrane
GO:0045053,protein retention in Golgi apparatus
GO:0045056,transcytosis
GO:0045087,innate immune response
GO:0045088,regulation of innate immune response
GO:0045089,positive regulation of innate immune response
GO:0045116,protein neddylation
GO:0045117,azole transmembrane transport
GO:0045132,meiotic chromosome segregation
GO:0045141,meiotic telomere clustering
GO:0045143,homologous chromosome segregation
GO:0045144,meiotic sister chromatid segregation
GO:0045165,cell fate commitment
GO:0045168,cell-cell signaling involved in cell fate commitment
GO:0045184,establishment of protein localization
GO:0045185,maintenance of protein location
GO:0045216,cell-cell junction organization
GO:0045229,external encapsulating structure organization
GO:0045292,"mRNA cis splicing, via spliceosome"
GO:0045324,late endosome to vacuole transport
GO:0045332,phospholipid translocation
GO:0045333,cellular respiration
GO:0045337,farnesyl diphosphate biosynthetic process
GO:0045338,farnesyl diphosphate metabolic process
GO:0045454,cell redox homeostasis
GO:0045487,gibberellin catabolic process
GO:0045488,pectin metabolic process
GO:0045489,pectin biosynthetic process
GO:0045490,pectin catabolic process
GO:0045491,xylan metabolic process
GO:0045492,xylan biosynthetic process
GO:0045493,xylan catabolic process
GO:0045595,regulation of cell differentiation
GO:0045717,negative regulation of fatty acid biosynthetic process
GO:0045721,negative regulation of gluconeogenesis
GO:0045727,positive regulation of translation
GO:0045732,positive regulation of protein catabolic process
GO:0045736,negative regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0045737,positive regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0045739,positive regulation of DNA repair
GO:0045740,positive regulation of DNA replication
GO:0045747,positive regulation of Notch signaling pathway
GO:0045761,regulation of adenylate cyclase activity
GO:0045762,positive regulation of adenylate cyclase activity
GO:0045786,negative regulation of cell cycle
GO:0045787,positive regulation of cell cycle
GO:0045793,positive regulation of cell size
GO:0045814,"negative regulation of gene expression, epigenetic"
GO:0045833,negative regulation of lipid metabolic process
GO:0045834,positive regulation of lipid metabolic process
GO:0045835,negative regulation of meiotic nuclear division
GO:0045836,positive regulation of meiotic nuclear division
GO:0045839,negative regulation of mitotic nuclear division
GO:0045840,positive regulation of mitotic nuclear division
GO:0045841,negative regulation of mitotic metaphase/anaphase transition
GO:0045842,positive regulation of mitotic metaphase/anaphase transition
GO:0045851,pH reduction
GO:0045859,regulation of protein kinase activity
GO:0045860,positive regulation of protein kinase activity
GO:0045861,negative regulation of proteolysis
GO:0045862,positive regulation of proteolysis
GO:0045892,negative regulation of DNA-templated transcription
GO:0045893,positive regulation of DNA-templated transcription
GO:0045898,regulation of RNA polymerase II transcription preinitiation complex assembly
GO:0045899,positive regulation of RNA polymerase II transcription preinitiation complex assembly
GO:0045900,negative regulation of translational elongation
GO:0045901,positive regulation of translational elongation
GO:0045905,positive regulation of translational termination
GO:0045910,negative regulation of DNA recombination
GO:0045911,positive regulation of DNA recombination
GO:0045912,negative regulation of carbohydrate metabolic process
GO:0045922,negative regulation of fatty acid metabolic process
GO:0045923,positive regulation of fatty acid metabolic process
GO:0045926,negative regulation of growth
GO:0045927,positive regulation of growth
GO:0045930,negative regulation of mitotic cell cycle
GO:0045931,positive regulation of mitotic cell cycle
GO:0045934,negative regulation of nucleobase-containing compound metabolic process
GO:0045935,positive regulation of nucleobase-containing compound metabolic process
GO:0045936,negative regulation of phosphate metabolic process
GO:0045937,positive regulation of phosphate metabolic process
GO:0045943,positive regulation of transcription by RNA polymerase I
GO:0045944,positive regulation of transcription by RNA polymerase II
GO:0045948,positive regulation of translational initiation
GO:0045951,positive regulation of mitotic recombination
GO:0046031,ADP metabolic process
GO:0046033,AMP metabolic process
GO:0046034,ATP metabolic process
GO:0046036,CTP metabolic process
GO:0046037,GMP metabolic process
GO:0046039,GTP metabolic process
GO:0046040,IMP metabolic process
GO:0046048,UDP metabolic process
GO:0046049,UMP metabolic process
GO:0046051,UTP metabolic process
GO:0046065,dCTP metabolic process
GO:0046070,dGTP metabolic process
GO:0046072,dTDP metabolic process
GO:0046073,dTMP metabolic process
GO:0046075,dTTP metabolic process
GO:0046077,dUDP metabolic process
GO:0046078,dUMP metabolic process
GO:0046080,dUTP metabolic process
GO:0046081,dUTP catabolic process
GO:0046083,adenine metabolic process
GO:0046084,adenine biosynthetic process
GO:0046085,adenosine metabolic process
GO:0046087,cytidine metabolic process
GO:0046102,inosine metabolic process
GO:0046103,inosine biosynthetic process
GO:0046104,thymidine metabolic process
GO:0046107,uracil biosynthetic process
GO:0046112,nucleobase biosynthetic process
GO:0046113,nucleobase catabolic process
GO:0046125,pyrimidine deoxyribonucleoside metabolic process
GO:0046128,purine ribonucleoside metabolic process
GO:0046129,purine ribonucleoside biosynthetic process
GO:0046130,purine ribonucleoside catabolic process
GO:0046131,pyrimidine ribonucleoside metabolic process
GO:0046133,pyrimidine ribonucleoside catabolic process
GO:0046135,pyrimidine nucleoside catabolic process
GO:0046146,tetrahydrobiopterin metabolic process
GO:0046148,pigment biosynthetic process
GO:0046149,pigment catabolic process
GO:0046156,siroheme metabolic process
GO:0046160,heme a metabolic process
GO:0046164,alcohol catabolic process
GO:0046165,alcohol biosynthetic process
GO:0046166,glyceraldehyde-3-phosphate biosynthetic process
GO:0046167,glycerol-3-phosphate biosynthetic process
GO:0046168,glycerol-3-phosphate catabolic process
GO:0046173,polyol biosynthetic process
GO:0046174,polyol catabolic process
GO:0046176,aldonic acid catabolic process
GO:0046177,D-gluconate catabolic process
GO:0046184,aldehyde biosynthetic process
GO:0046185,aldehyde catabolic process
GO:0046189,phenol-containing compound biosynthetic process
GO:0046209,nitric oxide metabolic process
GO:0046219,indolalkylamine biosynthetic process
GO:0046244,salicylic acid catabolic process
GO:0046246,terpene biosynthetic process
GO:0046247,terpene catabolic process
GO:0046271,phenylpropanoid catabolic process
GO:0046274,lignin catabolic process
GO:0046283,anthocyanin-containing compound metabolic process
GO:0046292,formaldehyde metabolic process
GO:0046294,formaldehyde catabolic process
GO:0046320,regulation of fatty acid oxidation
GO:0046321,positive regulation of fatty acid oxidation
GO:0046337,phosphatidylethanolamine metabolic process
GO:0046341,CDP-diacylglycerol metabolic process
GO:0046345,abscisic acid catabolic process
GO:0046348,amino sugar catabolic process
GO:0046349,amino sugar biosynthetic process
GO:0046351,disaccharide biosynthetic process
GO:0046352,disaccharide catabolic process
GO:0046364,monosaccharide biosynthetic process
GO:0046365,monosaccharide catabolic process
GO:0046368,GDP-L-fucose metabolic process
GO:0046373,L-arabinose metabolic process
GO:0046383,dTDP-rhamnose metabolic process
GO:0046385,deoxyribose phosphate biosynthetic process
GO:0046386,deoxyribose phosphate catabolic process
GO:0046390,ribose phosphate biosynthetic process
GO:0046391,5-phosphoribose 1-diphosphate metabolic process
GO:0046394,carboxylic acid biosynthetic process
GO:0046395,carboxylic acid catabolic process
GO:0046396,D-galacturonate metabolic process
GO:0046398,UDP-glucuronate metabolic process
GO:0046415,urate metabolic process
GO:0046416,D-amino acid metabolic process
GO:0046417,chorismate metabolic process
GO:0046434,organophosphate catabolic process
GO:0046437,D-amino acid biosynthetic process
GO:0046440,L-lysine metabolic process
GO:0046443,FAD metabolic process
GO:0046451,diaminopimelate metabolic process
GO:0046452,dihydrofolate metabolic process
GO:0046456,icosanoid biosynthetic process
GO:0046457,prostanoid biosynthetic process
GO:0046460,neutral lipid biosynthetic process
GO:0046461,neutral lipid catabolic process
GO:0046463,acylglycerol biosynthetic process
GO:0046464,acylglycerol catabolic process
GO:0046466,membrane lipid catabolic process
GO:0046467,membrane lipid biosynthetic process
GO:0046470,phosphatidylcholine metabolic process
GO:0046471,phosphatidylglycerol metabolic process
GO:0046473,phosphatidic acid metabolic process
GO:0046474,glycerophospholipid biosynthetic process
GO:0046475,glycerophospholipid catabolic process
GO:0046476,glycosylceramide biosynthetic process
GO:0046477,glycosylceramide catabolic process
GO:0046479,glycosphingolipid catabolic process
GO:0046482,para-aminobenzoic acid metabolic process
GO:0046483,heterocycle metabolic process
GO:0046484,oxazole or thiazole metabolic process
GO:0046486,glycerolipid metabolic process
GO:0046487,glyoxylate metabolic process
GO:0046488,phosphatidylinositol metabolic process
GO:0046490,isopentenyl diphosphate metabolic process
GO:0046493,lipid A metabolic process
GO:0046496,nicotinamide nucleotide metabolic process
GO:0046497,nicotinate nucleotide metabolic process
GO:0046498,S-adenosylhomocysteine metabolic process
GO:0046500,S-adenosylmethionine metabolic process
GO:0046501,protoporphyrinogen IX metabolic process
GO:0046502,uroporphyrinogen III metabolic process
GO:0046503,glycerolipid catabolic process
GO:0046505,sulfolipid metabolic process
GO:0046506,sulfolipid biosynthetic process
GO:0046512,sphingosine biosynthetic process
GO:0046513,ceramide biosynthetic process
GO:0046514,ceramide catabolic process
GO:0046519,sphingoid metabolic process
GO:0046520,sphingoid biosynthetic process
GO:0046521,sphingoid catabolic process
GO:0046578,regulation of Ras protein signal transduction
GO:0046618,xenobiotic export from cell
GO:0046620,regulation of organ growth
GO:0046621,negative regulation of organ growth
GO:0046622,positive regulation of organ growth
GO:0046653,tetrahydrofolate metabolic process
GO:0046654,tetrahydrofolate biosynthetic process
GO:0046655,folic acid metabolic process
GO:0046656,folic acid biosynthetic process
GO:0046686,response to cadmium ion
GO:0046688,response to copper ion
GO:0046700,heterocycle catabolic process
GO:0046704,CDP metabolic process
GO:0046705,CDP biosynthetic process
GO:0046710,GDP metabolic process
GO:0046713,borate transport
GO:0046739,transport of virus in multicellular host
GO:0046777,protein autophosphorylation
GO:0046785,microtubule polymerization
GO:0046794,transport of virus
GO:0046834,lipid phosphorylation
GO:0046835,carbohydrate phosphorylation
GO:0046836,glycolipid transport
GO:0046838,phosphorylated carbohydrate dephosphorylation
GO:0046839,phospholipid dephosphorylation
GO:0046854,phosphatidylinositol phosphate biosynthetic process
GO:0046855,inositol phosphate dephosphorylation
GO:0046856,phosphatidylinositol dephosphorylation
GO:0046874,quinolinate metabolic process
GO:0046889,positive regulation of lipid biosynthetic process
GO:0046890,regulation of lipid biosynthetic process
GO:0046900,tetrahydrofolylpolyglutamate metabolic process
GO:0046901,tetrahydrofolylpolyglutamate biosynthetic process
GO:0046902,regulation of mitochondrial membrane permeability
GO:0046903,secretion
GO:0046907,intracellular transport
GO:0046916,cellular transition metal ion homeostasis
